Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,10/13/2022 15:02,FALSE,Saginaw Running,8,880,0:57:55,0,0,165,174,7:14,6:12,16,16,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,9,0,0:57:55,0:59:20,584,600
Running,10/12/2022 7:22,FALSE,Saginaw Running,11,"1,202",1:17:43,0,0,167,176,7:04,5:34,22,22,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,12,0,1:17:42,1:18:44,584,604
Running,10/11/2022 18:00,FALSE,Saginaw Running,4.53,501,0:35:13,0,0,166,175,7:47,6:16,13,13,1.25,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:01.0,5,0,0:35:11,0:35:58,584,594
Running,10/11/2022 7:54,FALSE,Saginaw Running,2,220,0:14:41,0,0,168,177,7:20,6:42,--,3,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,3,0,0:14:41,0:16:50,594,597
Running,10/11/2022 7:07,FALSE,Saginaw Running,7.47,790,0:46:14,0,0,174,194,6:11,4:26,10,13,1.48,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:04.3,16,0,0:46:11,0:46:14,594,597
Running,10/11/2022 6:31,FALSE,Saginaw Running,3,330,0:21:54,0,0,167,176,7:17,6:47,3,3,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,4,0,0:21:53,0:21:54,594,597
Running,10/10/2022 7:26,FALSE,Saginaw Running,5,549,0:37:27,0,0,166,178,7:29,5:27,3,3,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,6,0,0:37:27,0:37:27,591,600
Running,10/10/2022 6:20,FALSE,Saginaw Running,2.01,221,0:15:33,0,0,166,174,7:45,7:16,--,--,1.25,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,3,0,0:15:33,0:15:38,594,597
Running,10/9/2022 8:13,FALSE,Saginaw County Running,14.01,"1,508",1:25:01,0,0,170,180,6:04,5:07,29,29,1.56,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,15,0,1:25:00,1:25:01,582,606
Running,10/7/2022 7:50,FALSE,Saginaw Running,3.01,332,0:23:38,0,0,166,176,7:51,6:47,3,--,1.23,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.1,4,0,0:23:36,0:32:04,591,597
Running,10/7/2022 7:13,FALSE,Saginaw Running,5.09,506,0:33:53,0,0,172,207,6:40,4:09,--,--,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:06.1,20,0,0:33:49,0:33:53,591,591
Running,10/7/2022 6:30,FALSE,Saginaw Running,3.01,332,0:23:32,0,0,165,176,7:50,7:20,36,--,1.24,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,4,0,0:23:31,0:24:04,558,597
Running,10/6/2022 6:13,FALSE,Saginaw Running,9,985,1:03:05,0,0,166,179,7:00,5:29,20,20,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,10,0,1:03:02,1:03:15,584,607
Running,10/5/2022 7:21,FALSE,Saginaw Running,12,"1,312",1:24:27,0,0,166,178,7:02,5:54,10,10,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,13,0,1:24:24,1:32:52,584,594
Running,10/4/2022 17:55,FALSE,Saginaw Running,5,545,0:33:01,0,0,167,178,6:36,6:01,13,13,1.47,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,6,0,0:33:00,0:33:01,584,600
Running,10/4/2022 7:33,FALSE,Saginaw Running,3.01,329,0:21:45,0,0,167,205,7:14,6:47,8,10,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.2,4,0,0:21:45,0:23:42,610,623
Running,10/4/2022 6:45,FALSE,Saginaw Running,7.01,744,0:47:48,0,0,173,215,6:49,4:36,26,20,1.34,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:06.8,15,0,0:47:27,0:47:48,610,620
Running,10/4/2022 5:58,FALSE,Saginaw Running,3,331,0:23:44,0,0,164,172,7:54,7:19,7,10,1.24,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,4,0,0:23:42,0:24:44,610,620
Running,10/3/2022 8:31,FALSE,Saginaw Running,4,441,0:29:27,0,0,166,173,7:21,6:22,7,7,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,5,0,0:29:25,0:29:42,591,600
Running,10/3/2022 7:18,FALSE,Saginaw Running,2.01,221,0:14:57,0,0,166,172,7:27,6:53,--,--,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,3,0,0:14:56,0:14:57,587,594
Running,10/2/2022 8:20,FALSE,Frankenmuth Running,14,"1,517",1:30:29,0,0,169,184,6:28,5:07,107,109,1.48,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,15,0,1:30:28,1:32:21,604,650
Running,9/30/2022 16:38,FALSE,Saginaw Running,3.27,356,0:23:18,0,0,166,175,7:08,6:09,7,8,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:52.4,4,0,0:23:17,0:23:18,591,600
Running,9/30/2022 9:08,FALSE,Saginaw Running,3.01,327,0:22:13,0,0,166,174,7:23,6:22,3,--,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,4,0,0:22:12,0:23:52,591,597
Running,9/30/2022 8:49,FALSE,Saginaw Running,1.22,102,0:12:41,0,0,133,208,10:23,3:22,--,3,1.19,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:27.6,8,0,0:12:40,0:14:35,591,594
Running,9/30/2022 8:06,FALSE,Saginaw Running,6.49,716,0:37:49,0,0,173,192,5:50,4:24,2,--,1.58,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:30.6,11,0,0:37:47,0:37:49,591,594
Running,9/30/2022 7:31,FALSE,Saginaw Running,3,327,0:21:55,0,0,166,177,7:18,6:43,--,--,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,4,0,0:21:54,0:22:01,594,597
Running,9/29/2022 6:17,FALSE,Saginaw Running,7,768,0:50:19,0,0,166,176,7:11,6:36,7,10,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,8,0,0:50:17,0:50:19,585,600
Running,9/28/2022 7:19,FALSE,Saginaw Running,11,"1,203",1:16:21,0,0,169,180,6:56,5:55,36,36,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.7,12,0,1:16:19,1:16:42,584,620
Running,9/27/2022 12:45,FALSE,Saginaw Running,3.11,338,0:22:04,0,0,167,175,7:06,6:47,3,3,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:43.2,4,0,0:22:03,0:22:04,594,597
Running,9/27/2022 7:20,FALSE,Saginaw Running,3.88,402,0:28:10,0,0,161,223,7:15,2:47,--,3,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:04.2,15,0,0:28:07,0:38:39,591,597
Running,9/27/2022 6:41,FALSE,Saginaw Running,6.01,661,0:33:20,0,0,177,190,5:33,4:32,10,10,1.64,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.2,7,0,0:33:19,0:33:20,594,597
Running,9/27/2022 6:09,FALSE,Saginaw Running,3.01,330,0:21:49,0,0,169,180,7:16,5:35,3,--,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,4,0,0:21:49,0:21:58,594,597
Running,9/26/2022 7:24,FALSE,Saginaw Running,9.01,986,1:04:03,0,0,169,182,7:07,5:50,16,16,1.34,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,10,0,1:04:01,1:04:03,585,604
Running,9/25/2022 8:21,FALSE,Saginaw County Running,15,"1,626",1:37:28,0,0,170,181,6:30,5:48,29,29,1.45,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,16,0,1:37:25,1:38:21,582,605
Running,9/24/2022 11:52,FALSE,Saginaw Running,5,550,0:36:55,0,0,166,173,7:23,6:37,16,16,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,6,0,0:36:53,0:36:55,584,600
Running,9/23/2022 16:46,FALSE,Saginaw Running,4.56,499,0:32:40,0,0,165,174,7:10,6:32,7,7,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:50.1,5,0,0:32:39,0:32:50,587,600
Running,9/23/2022 8:05,FALSE,Saginaw Running,3,330,0:22:13,0,0,168,177,7:24,3:49,3,--,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,4,0,0:22:11,0:22:35,591,597
Running,9/23/2022 7:47,FALSE,Saginaw Running,1.27,114,0:12:15,0,0,139,200,9:37,3:38,--,3,1.21,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:27.9,8,0,0:12:14,0:12:53,591,594
Running,9/23/2022 7:06,FALSE,Saginaw Running,6.55,716,0:37:47,0,0,175,200,5:46,4:43,7,6,1.58,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:09.3,12,0,0:37:45,0:37:47,591,594
Running,9/23/2022 6:30,FALSE,Saginaw Running,3,331,0:22:48,0,0,167,179,7:36,6:22,--,--,1.27,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,4,0,0:22:48,0:22:48,592,597
Running,9/22/2022 7:05,FALSE,Saginaw Running,5,550,0:37:09,0,0,166,176,7:26,6:09,10,5,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,6,0,0:37:08,0:37:36,584,600
Running,9/21/2022 7:21,FALSE,Saginaw Running,13,"1,427",1:33:53,0,0,166,177,7:13,5:51,20,22,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.7,14,0,1:33:49,1:38:25,581,606
Running,9/20/2022 12:48,FALSE,Saginaw Running,5,549,0:36:03,0,0,165,174,7:13,6:10,358,377,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,6,0,0:36:02,0:36:16,557,641
Running,9/20/2022 7:34,FALSE,Saginaw Running,3,329,0:20:03,0,0,167,173,6:41,6:20,141,141,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,4,0,0:20:03,0:20:03,596,644
Running,9/20/2022 7:21,FALSE,Saginaw Running,0.88,86,06:02.8,0,0,167,207,6:51,3:48,56,59,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:16.8,12,0,06:00.6,06:02.8,606,635
Running,9/20/2022 6:39,FALSE,Saginaw Running,6.73,719,0:40:08,0,0,173,194,5:58,4:50,407,387,1.55,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:09.8,19,0,0:39:41,0:40:08,577,652
Running,9/20/2022 6:00,FALSE,Saginaw Running,3,334,0:23:16,0,0,164,171,7:45,6:42,220,259,1.26,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,4,0,0:23:16,0:23:16,591,665
Running,9/18/2022 8:17,FALSE,Bay County Running,15,"1,627",1:37:01,0,0,170,179,6:28,5:51,"1,007","1,040",1.47,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,16,0,1:36:58,1:37:01,587,712
Running,9/17/2022 9:11,FALSE,Livingston County Running,3.65,402,0:26:51,0,0,167,176,7:22,6:57,152,151,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:38.8,4,0,0:26:50,0:26:51,960,"1,055"
Running,9/16/2022 17:08,FALSE,Livingston County Running,5.01,551,0:36:46,0,0,165,175,7:21,6:50,293,289,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,6,0,0:36:46,0:36:46,932,"1,055"
Running,9/16/2022 7:42,FALSE,Saginaw Running,3,326,0:20:44,0,0,169,175,6:54,6:25,--,3,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,4,0,0:20:43,0:22:30,591,597
Running,9/16/2022 7:02,FALSE,Saginaw Running,6.2,680,0:36:15,0,0,175,190,5:51,4:36,10,10,1.57,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:00.1,24,0,0:36:12,0:36:15,594,597
Running,9/16/2022 6:28,FALSE,Saginaw Running,3.01,332,0:23:06,0,0,167,176,7:41,6:32,3,--,1.25,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,4,0,0:23:05,0:28:09,594,597
Running,9/15/2022 15:04,FALSE,Saginaw Running,5.01,549,0:36:11,0,0,165,173,7:14,6:44,11,13,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,6,0,0:36:09,0:36:11,584,600
Running,9/15/2022 6:20,FALSE,Saginaw Running,10.01,"1,092",1:10:25,0,0,166,177,7:02,5:46,23,32,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,11,0,1:10:23,1:11:25,591,618
Running,9/14/2022 7:20,FALSE,Saginaw Running,13,"1,424",1:32:24,0,0,167,181,7:06,5:11,28,31,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,14,0,1:32:22,1:36:12,581,602
Running,9/13/2022 12:56,FALSE,Saginaw Running,3.03,331,0:20:33,0,0,167,176,6:47,6:13,3,3,1.42,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:10.0,4,0,0:20:32,0:24:05,594,597
Running,9/13/2022 12:34,FALSE,Saginaw Running,3.01,326,0:17:14,0,0,173,180,5:44,5:12,3,7,1.62,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,4,0,0:17:14,0:17:14,594,597
Running,9/13/2022 12:05,FALSE,Saginaw Running,3.01,325,0:21:15,0,0,167,177,7:04,6:40,3,--,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,4,0,0:21:15,0:21:23,594,597
Running,9/11/2022 8:18,FALSE,Saginaw County Running,12.09,"1,320",1:19:57,0,0,168,188,6:37,5:53,18,21,1.45,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:36.7,13,0,1:19:55,1:19:57,584,605
Running,9/9/2022 14:24,FALSE,Saginaw Running,5.32,583,0:39:03,0,0,166,178,7:21,6:32,10,10,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:15.7,6,0,0:39:02,0:39:45,584,599
Running,9/9/2022 7:47,FALSE,Saginaw Running,3,330,0:24:25,0,0,166,176,8:08,7:20,--,--,1.2,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,4,0,0:24:25,0:26:58,591,600
Running,9/9/2022 7:04,FALSE,Saginaw Running,5.36,564,0:33:02,0,0,173,198,6:10,4:41,3,5,1.48,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:58.6,13,0,0:32:59,0:33:02,591,594
Running,9/9/2022 6:30,FALSE,Saginaw Running,3,331,0:22:45,0,0,166,177,7:34,7:05,--,--,1.28,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,4,0,0:22:45,0:22:54,593,597
Running,9/8/2022 6:19,FALSE,Saginaw Running,9,988,1:04:42,0,0,165,176,7:11,5:45,19,19,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.8,10,0,1:04:40,1:05:19,584,607
Running,9/7/2022 7:19,FALSE,Saginaw Running,12,"1,319",1:26:47,0,0,165,176,7:14,5:38,24,24,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,13,0,1:26:46,1:30:53,581,600
Running,9/6/2022 7:49,FALSE,Saginaw Running,3.3,350,0:24:22,0,0,164,231,7:23,3:01,--,3,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,8,0,0:24:21,0:32:51,591,600
Running,9/6/2022 7:09,FALSE,Saginaw Running,6.01,653,0:33:54,0,0,176,191,5:39,4:52,10,10,1.62,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,7,0,0:33:52,0:33:54,594,597
Running,9/6/2022 6:34,FALSE,Saginaw Running,3,331,0:22:54,0,0,165,177,7:38,6:37,3,--,1.28,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,4,0,0:22:53,0:23:22,594,597
Running,9/5/2022 9:26,FALSE,Saginaw Running,10,"1,102",1:12:53,0,0,166,176,7:17,6:54,26,26,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,11,0,1:12:52,1:15:56,584,606
Running,9/4/2022 8:27,FALSE,Frankenmuth Running,15.01,"1,631",1:37:24,0,0,170,191,6:29,5:46,215,212,1.46,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,16,0,1:37:21,1:37:32,604,650
Running,9/3/2022 10:43,FALSE,Saginaw Running,9,997,1:07:28,0,0,165,174,7:30,6:58,26,23,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,10,0,1:07:27,1:13:51,594,620
Running,9/2/2022 7:34,FALSE,Saginaw Running,5,555,0:38:33,0,0,165,173,7:42,6:53,3,3,1.27,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,6,0,0:38:32,0:38:33,591,597
Running,9/2/2022 7:00,FALSE,2mi Time Trial,2,205,0:10:47,0,0,--,--,5:23,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,10:46.1,1,0,0:00:00,0:10:47,--,--
Running,9/2/2022 6:32,FALSE,Saginaw Running,3,326,0:21:45,0,0,165,175,7:14,6:32,--,--,1.34,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,4,0,0:21:44,0:26:11,591,597
Running,9/1/2022 6:22,FALSE,Saginaw Running,9,986,1:03:08,0,0,165,173,7:01,6:24,14,14,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,10,0,1:03:07,1:03:08,584,604
Running,8/31/2022 7:20,FALSE,Saginaw Running,12,"1,314",1:23:43,0,0,167,178,6:58,5:42,16,16,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,13,0,1:23:41,1:26:00,576,604
Running,8/30/2022 13:16,FALSE,Saginaw Running,11.01,"1,191",1:12:25,0,0,167,179,6:35,5:41,16,16,1.46,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,12,0,1:12:21,1:13:52,584,607
Running,8/29/2022 7:30,FALSE,Saginaw Running,9,981,1:03:39,0,0,167,176,7:04,6:28,29,29,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.8,10,0,1:03:38,1:07:43,584,606
Running,8/28/2022 8:28,FALSE,Saginaw County Running,15,"1,627",1:38:04,0,0,171,178,6:32,5:51,27,27,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,16,0,1:38:01,1:38:35,582,605
Running,8/27/2022 18:35,FALSE,Saginaw Running,5.5,606,0:40:26,0,0,165,174,7:21,7:02,13,13,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:35.3,6,0,0:40:25,0:40:26,584,604
Running,8/27/2022 9:58,FALSE,Saginaw Running,10.33,"1,127",1:14:14,0,0,164,175,7:11,6:01,16,16,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:15.1,11,0,1:14:12,1:20:15,581,599
Running,8/26/2022 7:30,FALSE,Saginaw Running,1,108,07:37.0,0,0,163,171,7:36,6:45,--,--,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,2,0,07:34.9,0:13:05,591,591
Running,8/26/2022 6:35,FALSE,Saginaw Running,8,865,0:51:09,0,0,169,181,6:23,5:32,20,23,1.49,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,9,0,0:51:08,0:53:17,584,600
Running,8/25/2022 8:20,FALSE,Otsego County Running,11,"1,201",1:20:43,0,0,165,182,7:20,5:34,462,481,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,12,0,1:20:41,1:27:54,"1,262","1,391"
Running,8/24/2022 10:47,FALSE,Otsego County Running,1,107,08:46.4,0,0,164,174,8:45,7:42,--,112,1.12,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,2,0,08:46.0,09:12.5,"1,276","1,402"
Running,8/24/2022 10:09,FALSE,Otsego County Running,4.15,447,0:27:40,0,0,168,192,6:40,4:46,179,149,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:15.0,10,0,0:27:39,0:28:12,"1,257","1,409"
Running,8/24/2022 9:31,FALSE,Otsego County Running,3.01,328,0:21:09,0,0,167,178,7:02,6:18,177,149,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,4,0,0:21:08,0:21:17,"1,276","1,401"
Running,8/23/2022 15:24,FALSE,Otsego County Running,11,"1,204",1:19:56,0,0,166,182,7:16,6:30,376,380,1.34,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,12,0,1:19:55,1:20:48,"1,289","1,498"
Running,8/22/2022 9:01,FALSE,Fenton Running,15,"1,630",1:40:09,0,0,166,175,6:40,5:46,120,119,1.46,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,16,0,1:40:07,1:49:52,870,932
Running,8/20/2022 10:18,FALSE,Grand Blanc Running,8,881,0:59:12,0,0,164,173,7:24,6:36,158,161,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,9,0,0:59:11,1:08:12,867,922
Running,8/19/2022 10:59,FALSE,Fenton Running,9,976,1:03:17,0,0,164,171,7:02,6:36,52,56,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,10,0,1:03:15,1:18:34,870,933
Running,8/18/2022 14:43,FALSE,Oakland County Running,6.01,649,0:43:39,0,0,168,183,7:16,5:46,317,307,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,7,0,0:43:38,0:47:56,981,"1,115"
Running,8/18/2022 9:24,FALSE,Oakland County Running,6.01,647,0:40:49,0,0,167,182,6:48,5:54,312,295,1.42,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,7,0,0:40:49,0:46:19,981,"1,106"
Running,8/18/2022 9:04,FALSE,Oakland County Running,3,320,0:17:54,0,0,173,193,5:58,4:49,194,197,1.56,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.6,4,0,0:17:54,0:17:54,981,"1,086"
Running,8/18/2022 8:43,FALSE,Oakland County Running,1,105,08:00.2,0,0,165,174,7:58,7:32,--,33,1.22,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,2,0,08:00.2,08:00.2,"1,008","1,058"
Running,8/17/2022 8:54,FALSE,Oakland County Running,8,865,0:56:45,0,0,168,178,7:05,6:13,455,433,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,9,0,0:56:44,1:04:31,"1,014","1,130"
Running,8/16/2022 11:42,FALSE,Oakland County Running,11.01,"1,193",1:18:55,0,0,167,184,7:10,6:10,522,530,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.0,12,0,1:18:52,1:40:29,"1,009","1,183"
Running,8/15/2022 18:17,FALSE,Grand Blanc Running,8,877,0:57:37,0,0,165,240,7:12,5:38,62,65,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,9,0,0:57:35,0:58:41,830,861
Running,8/12/2022 10:24,FALSE,Saginaw Running,10.01,"1,079",1:07:17,0,0,168,184,6:43,4:59,20,20,1.42,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:30.2,27,0,1:07:13,1:10:15,584,604
Running,8/11/2022 7:56,FALSE,Saginaw Running,12.01,"1,314",1:24:00,0,0,166,240,7:00,5:27,23,23,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.0,13,0,1:23:57,1:32:52,604,633
Running,8/10/2022 8:11,FALSE,Saginaw Running,13.01,"1,421",1:29:49,0,0,167,177,6:54,6:23,32,32,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,14,0,1:29:47,1:34:59,581,602
Running,8/7/2022 5:37,FALSE,Livingston County Running,15,"1,639",1:42:30,0,0,170,178,6:50,6:01,250,242,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.8,16,0,1:42:27,1:49:25,855,961
Running,8/6/2022 10:19,FALSE,Grand Blanc Running,8,880,0:59:34,0,0,167,176,7:27,6:50,155,158,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,9,0,0:59:32,1:13:44,868,922
Running,8/5/2022 20:19,FALSE,Livingston County Running,3,327,0:20:57,0,0,168,180,6:59,6:39,192,190,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,4,0,0:20:57,0:20:57,931,"1,051"
Running,8/5/2022 11:53,FALSE,Saginaw Running,10,"1,085",1:06:31,0,0,168,182,6:39,5:46,20,20,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,11,0,1:06:29,1:15:47,584,605
Running,8/3/2022 7:06,FALSE,Fenton Running,12,"1,315",1:24:02,0,0,167,178,7:00,6:10,156,148,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,13,0,1:24:00,1:26:18,843,919
Running,8/2/2022 20:02,FALSE,Grand Blanc Running,4,444,0:30:56,0,0,164,173,7:44,7:12,30,28,1.27,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,5,0,0:30:55,0:30:56,823,863
Running,8/2/2022 7:12,FALSE,Fenton Running,11.01,"1,210",1:21:31,0,0,168,178,7:24,6:47,412,412,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,12,0,1:21:29,1:31:24,899,"1,071"
Running,8/1/2022 7:12,FALSE,Genesee County Running,10.01,"1,101",1:12:51,0,0,167,178,7:17,6:49,168,174,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.1,11,0,1:12:49,1:12:55,837,901
Running,7/31/2022 8:06,FALSE,Grand Blanc Running,14.01,"1,519",1:30:33,0,0,170,240,6:28,5:48,262,265,1.47,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,15,0,1:30:31,1:39:02,864,943
